测试用例ID,模块,功能,测试标题,前置条件,测试步骤,预期结果,优先级
1,登录,用户名密码登录,验证正确用户名和密码登录,用户已注册且账户状态正常,1. 输入正确的用户名
2. 输入正确的密码
3. 点击登录按钮,系统成功登录并跳转到主页,高
2,登录,用户名密码登录,验证错误用户名登录,用户已注册,1. 输入错误的用户名
2. 输入正确的密码
3. 点击登录按钮,系统提示"用户名或密码错误"并且不允许登录,高
3,登录,用户名密码登录,验证错误密码登录,用户已注册,1. 输入正确的用户名
2. 输入错误的密码
3. 点击登录按钮,系统提示"用户名或密码错误"并且不允许登录,高
4,登录,用户名密码登录,验证用户名为空,无,1. 不输入用户名
2. 输入密码
3. 点击登录按钮,系统提示"用户名不能为空"并且不允许登录,高
5,登录,用户名密码登录,验证密码为空,无,1. 输入用户名
2. 不输入密码
3. 点击登录按钮,系统提示"密码不能为空"并且不允许登录,高
6,登录,用户名密码登录,验证用户名和密码均为空,无,1. 不输入用户名
2. 不输入密码
3. 点击登录按钮,系统提示"用户名和密码不能为空"并且不允许登录,高
7,登录,用户名密码登录,验证账户被锁定,用户账户已被锁定,1. 输入正确的用户名
2. 输入正确的密码
3. 点击登录按钮,系统提示"账户已被锁定，请联系管理员"并且不允许登录,高
8,登录,用户名密码登录,验证账户被禁用,用户账户已被禁用,1. 输入正确的用户名
2. 输入正确的密码
3. 点击登录按钮,系统提示"账户已被禁用，请联系管理员"并且不允许登录,高
9,登录,用户名密码登录,验证密码连续错误次数达到上限,用户已连续输错密码达到系统设定的上限次数,1. 再次输入错误的密码
2. 点击登录按钮,系统提示"密码错误次数过多，账户已被临时锁定"并且不允许登录,中
10,登录,用户名密码登录,验证SQL注入攻击,无,1. 在用户名框输入SQL注入代码（如' OR '1'='1）
2. 输入任意密码
3. 点击登录按钮,系统应防止SQL注入攻击，提示"用户名或密码错误"并且不允许登录,高
11,登录,手机号登录,验证正确手机号和验证码登录,用户已注册且手机号已验证,1. 输入正确的手机号
2. 点击获取验证码
3. 输入正确的验证码
4. 点击登录按钮,系统成功登录并跳转到主页,高
12,登录,手机号登录,验证错误手机号登录,无,1. 输入未注册的手机号
2. 点击获取验证码,系统提示"该手机号未注册"并且不发送验证码,高
13,登录,手机号登录,验证手机号格式错误,无,1. 输入格式错误的手机号
2. 点击获取验证码,系统提示"请输入正确的手机号码"并且不发送验证码,高
14,登录,手机号登录,验证验证码错误,用户已获取验证码,1. 输入错误的验证码
2. 点击登录按钮,系统提示"验证码错误"并且不允许登录,高
15,登录,手机号登录,验证验证码过期,用户获取验证码后等待超过有效期,1. 输入已过期的验证码
2. 点击登录按钮,系统提示"验证码已过期，请重新获取"并且不允许登录,中
16,登录,手机号登录,验证验证码为空,用户已获取验证码,1. 不输入验证码
2. 点击登录按钮,系统提示"验证码不能为空"并且不允许登录,高
17,登录,第三方登录,验证微信登录,用户已有微信账号,1. 点击微信登录按钮
2. 在微信授权页面点击确认,系统成功通过微信登录并跳转到主页或绑定页面,中
18,登录,第三方登录,验证QQ登录,用户已有QQ账号,1. 点击QQ登录按钮
2. 在QQ授权页面点击确认,系统成功通过QQ登录并跳转到主页或绑定页面,中
19,登录,第三方登录,验证支付宝登录,用户已有支付宝账号,1. 点击支付宝登录按钮
2. 在支付宝授权页面点击确认,系统成功通过支付宝登录并跳转到主页或绑定页面,中
20,登录,第三方登录,验证微信登录取消授权,用户已有微信账号,1. 点击微信登录按钮
2. 在微信授权页面点击取消,系统返回登录页面并提示"登录已取消",低
21,登录,记住密码,验证勾选记住密码功能,用户已注册,1. 输入正确的用户名和密码
2. 勾选"记住密码"选项
3. 点击登录按钮
4. 退出登录后重新进入登录页面,系统应自动填充用户名和密码,中
22,登录,记住密码,验证不勾选记住密码功能,用户已注册,1. 输入正确的用户名和密码
2. 不勾选"记住密码"选项
3. 点击登录按钮
4. 退出登录后重新进入登录页面,系统不应自动填充用户名和密码,中
23,登录,自动登录,验证勾选自动登录功能,用户已注册,1. 输入正确的用户名和密码
2. 勾选"自动登录"选项
3. 点击登录按钮
