测试用例ID,模块,功能,测试标题,前置条件,测试步骤,预期结果,优先级
1,促销规则,时间段验证,验证促销活动开始时间早于结束时间,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-01 10:00:00
3. 设置结束时间为2023-01-01 09:00:00
4. 点击保存按钮,系统提示"结束时间必须晚于开始时间"并且不允许保存,高
2,促销规则,时间段验证,验证促销活动开始时间等于结束时间,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-01 10:00:00
3. 设置结束时间为2023-01-01 10:00:00
4. 点击保存按钮,系统提示"结束时间必须晚于开始时间"并且不允许保存,高
3,促销规则,时间段验证,验证促销活动开始时间晚于结束时间,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-02 10:00:00
3. 设置结束时间为2023-01-01 10:00:00
4. 点击保存按钮,系统提示"结束时间必须晚于开始时间"并且不允许保存,高
4,促销规则,时间段验证,验证促销活动开始时间为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不设置开始时间
3. 设置结束时间为2023-01-01 10:00:00
4. 点击保存按钮,系统提示"开始时间不能为空"并且不允许保存,高
5,促销规则,时间段验证,验证促销活动结束时间为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-01 10:00:00
3. 不设置结束时间
4. 点击保存按钮,系统提示"结束时间不能为空"并且不允许保存,高
6,促销规则,时间段验证,验证促销活动开始时间和结束时间均为空,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 不设置开始时间
3. 不设置结束时间
4. 点击保存按钮,系统提示"开始时间和结束时间不能为空"并且不允许保存,高
7,促销规则,时间段验证,验证促销活动开始时间格式错误,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为非法格式（如"2023/01/01"）
3. 设置结束时间为2023-01-02 10:00:00
4. 点击保存按钮,系统提示"开始时间格式错误"并且不允许保存,中
8,促销规则,时间段验证,验证促销活动结束时间格式错误,已登录系统且有权限创建促销活动,1. 进入促销活动创建页面
2. 设置开始时间为2023-01-01 10:00:00
